Year,Net FDI US$ 
2005,44824253570.133
2006,20816925828.9966
2007,-4014366973.45581
2008,34905390727.6413
2009,545425983.910267
2010,-20931725589.0966
2011,-25201352355.9264
2012,-19621467335.9788
2013,-12371927261.5791
2015,11685685363.6981
2016,-20249872617.7733
2017,23024931240.2476
