Year,Inflation Rate %
1992,3.12
1993,1.41
1994,2.35
1995,2.51
1996,1.69
1997,1.44
1998,2.43
1999,1.64
2000,5.56
2001,4.87
2002,4.65
2003,3.48
2004,2.19
2005,2.43
2006,3.94
2007,4.88
2008,4.05
2009,-4.48
2010,-0.95
2011,2.58
2012,1.69
2013,0.50
2014,0.20
2015,-0.29
2016,0.00
