Year,CO2 Emissions (Ton per capita)
1992,8.72
1993,8.74
1994,9.10
1995,9.14
1996,9.60
1997,9.91
1998,10.38
1999,10.69
2000,10.83
2001,11.39
2002,11.04
2003,10.68
2004,10.75
2005,10.47
2006,10.10
2007,10.15
2008,9.58
2008,8.89
2010,8.78
2011,7.79
2012,7.76
2013,7.58
2014,7.38
