Country,GDP
Austria,47291
Belgium,43324
Cyprus,25234
Estonia,19705
Finland,45703
Germany,44470
Greece,18613
Ireland,69331
Italy,31953
Latvia,15594
Lithuania,16681
Luxembourg,104103
Netherlands,48223
Portugal,21136
Slovakia,17605
Slovenia,23597
Spain,28157
